 Затрудняюсь ответить.|15/6/1995|NULL|NULL|NULL|0|344322514
 Нейтрально. Представители несистемной оппозиции - это обычные политические деятели, со своими взглядами.|19/11/1997|NULL|NULL|NULL|0|310081945
 Нейтрально. Представители несистемной оппозиции - это обычные политические деятели, со своими взглядами.|29/7/1995|NULL|NULL|NULL|0|272696796
 Отрицательно. Разделяю мнение Рамзана Кадырова о том, что представители несистемной оппозиции - враги народа.|5/4/1975|NULL|NULL|NULL|0|330121904
 Скорее отрицательно. Считаю, что представители несистемной оппозиции действуют в интересах США и Запада.|NULL|NULL|NULL|NULL|0|344597576
 Скорее положительно. Представители несистемной оппозиции - это необходимый элемент здорового гражданского общества.|4/3/2000|NULL|NULL|NULL|0|232754007
 Затрудняюсь ответить.|1/4|NULL|NULL|NULL|1|96236559
 Затрудняюсь ответить.|11/11|NULL|NULL|NULL|1|156800210
 Затрудняюсь ответить.|11/8/1997|NULL|NULL|NULL|1|138340704
 Затрудняюсь ответить.|12/5|NULL|NULL|NULL|1|194689342
 Затрудняюсь ответить.|17/3/1999|NULL|NULL|NULL|1|284496574
 Затрудняюсь ответить.|19/9|NULL|NULL|NULL|1|333057246
 Затрудняюсь ответить.|20/11/1997|NULL|NULL|NULL|1|301728469
 Затрудняюсь ответить.|21/12/1984|NULL|NULL|NULL|1|27636885
 Затрудняюсь ответить.|22/6/1941|NULL|NULL|NULL|1|296977259
 Затрудняюсь ответить.|23/1|NULL|NULL|NULL|1|248384852
 Затрудняюсь ответить.|23/11|NULL|NULL|NULL|1|155952433
 Затрудняюсь ответить.|23/6/1992|NULL|NULL|NULL|1|8721130
 Затрудняюсь ответить.|24/4/1975|NULL|NULL|NULL|1|232045167
 Затрудняюсь ответить.|24/8/1995|NULL|NULL|NULL|1|57435197
 Затрудняюсь ответить.|28/8/1989|NULL|NULL|NULL|1|330463991
 Затрудняюсь ответить.|29/5/1995|NULL|NULL|NULL|1|151691538
 Затрудняюсь ответить.|30/8/1997|NULL|NULL|NULL|1|189132439
 Затрудняюсь ответить.|6/6|NULL|NULL|NULL|1|297266889
 Затрудняюсь ответить.|9/12/1993|NULL|NULL|NULL|1|51606063
 Затрудняюсь ответить.|NULL|NULL|NULL|NULL|1|4395744943
 Затрудняюсь ответить.|12/1/2001|NULL|NULL|Минск|1|162550014
 Затрудняюсь ответить.|7/4|Витебск|Беларусь|NULL|1|301428872
 Затрудняюсь ответить.|11/10|Минск|Беларусь|NULL|1|169488279
 Затрудняюсь ответить.|13/5|Минск|Беларусь|NULL|1|136354293
 Затрудняюсь ответить.|15/2|Минск|Беларусь|NULL|1|245792037
 Затрудняюсь ответить.|NULL|Минск|Беларусь|NULL|1|51002175
 Затрудняюсь ответить.|9/10/1986|Могилёв|Беларусь|NULL|1|45627813
 Затрудняюсь ответить.|NULL|London|Великобритания|NULL|1|221256909
 Затрудняюсь ответить.|23/8|Berlin|Германия|NULL|1|234552278
 Затрудняюсь ответить.|3/4|Erfurt|Германия|NULL|1|300082858
 Затрудняюсь ответить.|NULL|Viborg|Дания|NULL|1|326810977
 Затрудняюсь ответить.|16/11|Хайфа|Израиль|NULL|1|51379269
 Затрудняюсь ответить.|4/7/1992|Roma|Италия|NULL|1|48065539
 Затрудняюсь ответить.|31/5|Verona|Италия|NULL|1|235474461
 Затрудняюсь ответить.|11/12/2000|Алматы|Казахстан|NULL|1|304396601
 Затрудняюсь ответить.|16/11/2000|Алматы|Казахстан|NULL|1|143316920
 Затрудняюсь ответить.|23/1|Алматы|Казахстан|NULL|1|229196520
 Затрудняюсь ответить.|26/6|Алматы|Казахстан|NULL|1|101814580
 Затрудняюсь ответить.|16/7|Астана|Казахстан|NULL|1|342187072
 Затрудняюсь ответить.|17/5/1994|Астана|Казахстан|NULL|1|42943846
 Затрудняюсь ответить.|7/7|Караганда|Казахстан|NULL|1|270212972
 Затрудняюсь ответить.|NULL|Экибастуз|Казахстан|NULL|1|275014891
 Затрудняюсь ответить.|NULL|Jelgava|Латвия|NULL|1|257849431
 Затрудняюсь ответить.|2/11|Rīga|Латвия|NULL|1|184163142
 Затрудняюсь ответить.|3/3/1997|Rīga|Латвия|NULL|1|144834164
 Затрудняюсь ответить.|8/8|Кишинев|Молдова|NULL|1|326501857
 Затрудняюсь ответить.|25/12/1996|Wellington|Новая Зеландия|Галактика Млечного пути, созвездие Орион|1|334280650
 Затрудняюсь ответить.|21/6|Arendal|Норвегия|NULL|1|254319810
 Затрудняюсь ответить.|7/12/1994|Gniezno|Польша|NULL|1|20120180
 Затрудняюсь ответить.|1/12|NULL|Россия|NULL|1|114313537
 Затрудняюсь ответить.|1/3|NULL|Россия|NULL|1|236803934
 Затрудняюсь ответить.|10/6|NULL|Россия|NULL|1|219373590
 Затрудняюсь ответить.|13/11|NULL|Россия|NULL|1|281798965
 Затрудняюсь ответить.|15/1|NULL|Россия|NULL|1|303640572
 Затрудняюсь ответить.|16/11|NULL|Россия|NULL|1|176938833
 Затрудняюсь ответить.|2/8|NULL|Россия|NULL|1|46437860
 Затрудняюсь ответить.|20/10|NULL|Россия|NULL|1|292445990
 Затрудняюсь ответить.|22/2|NULL|Россия|NULL|1|164495782
 Затрудняюсь ответить.|22/4|NULL|Россия|NULL|1|23183524
 Затрудняюсь ответить.|25/7|NULL|Россия|NULL|1|258388938
 Затрудняюсь ответить.|28/9/1995|NULL|Россия|NULL|1|253379789
 Затрудняюсь ответить.|29/3|NULL|Россия|NULL|1|276256450
 Затрудняюсь ответить.|5/12|NULL|Россия|NULL|1|184183683
 Затрудняюсь ответить.|5/8|NULL|Россия|NULL|1|147944411
 Затрудняюсь ответить.|6/1|NULL|Россия|NULL|1|504201
 Затрудняюсь ответить.|8/2/1988|NULL|Россия|NULL|1|58075526
 Затрудняюсь ответить.|9/12/2001|NULL|Россия|NULL|1|248268230
 Затрудняюсь ответить.|9/7|NULL|Россия|NULL|1|2193397
 Затрудняюсь ответить.|9/9/2002|NULL|Россия|NULL|1|271877970
